Dataset,Nodes,Edges,Heuristic,Raw,Naive_pruned,Fort_pruned,Naive_s,Fort_s,Speedup,Naive_clo,Fort_clo
BCSPWR01,39,46,H1,14,5,5,0.0017,0.0014,1.23,19,14
BCSPWR01,39,46,H2,6,5,5,0.0011,0.0007,1.57,11,6
BCSPWR01,39,46,H3,16,6,6,0.002,0.0017,1.2,22,16
BCSPWR01,39,46,H4,8,5,5,0.0012,0.0009,1.32,13,8
BCSPWR01,39,46,H5,10,5,5,0.0012,0.001,1.25,15,10
BCSPWR02,49,59,H1,11,6,6,0.0016,0.0012,1.33,17,11
BCSPWR02,49,59,H2,6,6,6,0.0006,0.0008,0.77,6,6
BCSPWR02,49,59,H3,30,7,7,0.0038,0.0027,1.37,37,30
BCSPWR02,49,59,H4,8,6,6,0.0015,0.0013,1.11,14,8
BCSPWR02,49,59,H5,13,6,6,0.0019,0.0016,1.23,19,13
BCSPWR03,118,179,H1,32,9,9,0.0114,0.0093,1.23,41,32
BCSPWR03,118,179,H2,10,10,10,0.0027,0.0035,0.76,10,10
BCSPWR03,118,179,H3,70,9,9,0.0181,0.0122,1.49,79,70
BCSPWR03,118,179,H4,11,8,8,0.0043,0.0036,1.2,19,11
BCSPWR03,118,179,H5,37,9,9,0.0103,0.0061,1.67,46,37
BCSPWR04,274,669,H1,168,25,25,0.0669,0.064,1.04,193,168
BCSPWR04,274,669,H2,26,24,24,0.022,0.0116,1.91,50,26
BCSPWR04,274,669,H3,242,32,32,0.1032,0.0882,1.17,274,242
BCSPWR04,274,669,H4,35,24,24,0.0262,0.0144,1.81,59,35
BCSPWR04,274,669,H5,171,25,25,0.0697,0.0594,1.17,196,171
BCSPWR05,443,590,H1,191,53,53,0.1491,0.1111,1.34,244,191
BCSPWR05,443,590,H2,54,48,48,0.0673,0.0377,1.78,102,54
BCSPWR05,443,590,H3,367,65,65,0.2849,0.2481,1.15,432,367
BCSPWR05,443,590,H4,67,49,49,0.0807,0.0449,1.8,116,67
BCSPWR05,443,590,H5,206,55,55,0.1633,0.1407,1.16,261,206
BCSPWR06,1454,1923,H1,632,151,151,1.7451,1.3887,1.26,783,632
BCSPWR06,1454,1923,H2,158,144,144,0.7025,0.3752,1.87,302,158
BCSPWR06,1454,1923,H3,1071,185,185,2.7011,2.8846,0.94,1256,1071
BCSPWR06,1454,1923,H4,183,146,146,0.9381,0.5016,1.87,329,183
BCSPWR06,1454,1923,H5,622,154,154,2.1021,1.4751,1.43,776,622
BCSPWR07,1612,2106,H1,686,174,174,2.1911,1.8088,1.21,860,686
BCSPWR07,1612,2106,H2,187,167,167,1.1002,0.4998,2.2,354,187
BCSPWR07,1612,2106,H3,1368,245,245,4.6449,4.0202,1.16,1613,1368
BCSPWR07,1612,2106,H4,219,174,174,1.1603,0.7109,1.63,393,219
BCSPWR07,1612,2106,H5,733,178,178,2.3927,1.9553,1.22,911,733
BCSPWR08,1624,2213,H1,731,178,178,2.505,1.9938,1.26,909,731
BCSPWR08,1624,2213,H2,180,165,165,1.0597,0.599,1.77,345,180
BCSPWR08,1624,2213,H3,1418,248,248,5.0396,4.0605,1.24,1666,1418
BCSPWR08,1624,2213,H4,209,171,171,1.2439,0.6631,1.88,380,209
BCSPWR08,1624,2213,H5,723,178,178,2.5562,2.1046,1.21,901,723
BCSPWR09,1723,2394,H1,519,174,174,2.1305,1.6828,1.27,693,519
BCSPWR09,1723,2394,H2,188,173,173,1.1838,0.6383,1.85,361,188
BCSPWR09,1723,2394,H3,1523,177,177,4.8289,4.0702,1.19,1700,1523
BCSPWR09,1723,2394,H4,233,177,177,1.7441,0.7506,2.32,410,233
BCSPWR09,1723,2394,H5,573,174,174,2.0361,1.4699,1.39,747,573
BCSPWR10,5300,8271,H1,2275,335,335,23.9186,20.3286,1.18,2610,2275
BCSPWR10,5300,8271,H2,366,327,327,7.9429,4.675,1.7,693,366
BCSPWR10,5300,8271,H3,4465,338,338,44.2365,38.577,1.15,4803,4465
BCSPWR10,5300,8271,H4,442,343,343,8.4801,5.2773,1.61,785,442
BCSPWR10,5300,8271,H5,2307,335,335,23.8025,19.5175,1.22,2642,2307
494_bus,494,586,H1,176,56,56,0.1771,0.1266,1.4,232,176
494_bus,494,586,H2,63,55,55,0.0879,0.0483,1.82,118,63
494_bus,494,586,H3,397,83,83,0.3301,0.2692,1.23,480,397
494_bus,494,586,H4,75,58,58,0.0981,0.0562,1.75,133,75
494_bus,494,586,H5,187,57,57,0.1672,0.1252,1.34,244,187
662_bus,662,906,H1,241,51,51,0.3037,0.2443,1.24,292,241
662_bus,662,906,H2,53,50,50,0.1174,0.0632,1.86,103,53
662_bus,662,906,H3,429,63,63,0.5122,0.4757,1.08,492,429
662_bus,662,906,H4,56,50,50,0.1294,0.0687,1.88,106,56
662_bus,662,906,H5,251,51,51,0.3357,0.3034,1.11,302,251
685_bus,685,1282,H1,276,50,50,0.4102,0.3647,1.12,326,276
685_bus,685,1282,H2,50,45,45,0.1249,0.0685,1.82,95,50
685_bus,685,1282,H3,580,61,61,0.8529,0.7074,1.21,641,580
685_bus,685,1282,H4,59,41,41,0.1528,0.1,1.53,100,59
685_bus,685,1282,H5,284,50,50,0.3865,0.3091,1.25,334,284
1138_bus,1138,1458,H1,434,149,149,0.9411,0.6927,1.36,583,434
1138_bus,1138,1458,H2,149,139,139,0.4989,0.2747,1.82,288,149
1138_bus,1138,1458,H3,878,188,188,1.8813,1.4899,1.26,1066,878
1138_bus,1138,1458,H4,170,145,145,0.5285,0.3217,1.64,315,170
1138_bus,1138,1458,H5,480,151,151,1.0112,0.8278,1.22,631,480
IEEE14,14,20,H1,4,2,2,0.0001,0.0001,1.22,6,4
IEEE14,14,20,H2,2,2,2,0.0,0.0001,0.72,2,2
IEEE14,14,20,H3,3,2,2,0.0001,0.0001,1.25,5,3
IEEE14,14,20,H4,2,2,2,0.0,0.0001,0.63,2,2
IEEE14,14,20,H5,2,2,2,0.0,0.0001,0.6,2,2
IEEE30,30,41,H1,7,3,3,0.0004,0.0003,1.19,10,7
IEEE30,30,41,H2,3,3,3,0.0001,0.0002,0.66,3,3
IEEE30,30,41,H3,13,4,4,0.0007,0.0006,1.16,17,13
IEEE30,30,41,H4,3,3,3,0.0001,0.0003,0.51,3,3
IEEE30,30,41,H5,9,3,3,0.0006,0.0004,1.4,12,9
IEEE57,57,78,H1,12,3,3,0.0015,0.0013,1.15,15,12
IEEE57,57,78,H2,4,4,4,0.0004,0.0005,0.76,4,4
IEEE57,57,78,H3,14,4,4,0.0016,0.0015,1.13,18,14
IEEE57,57,78,H4,6,4,4,0.0009,0.0007,1.35,10,6
IEEE57,57,78,H5,12,3,3,0.0013,0.0013,1.03,15,12
IEEE118,118,179,H1,36,10,10,0.0073,0.0059,1.24,46,36
IEEE118,118,179,H2,10,9,9,0.0033,0.0022,1.48,19,10
