Dataset,Nodes,Edges,H1_raw,H1_naive,H1_fort,H1_naive_time,H1_fort_time,H1_naive_clo,H1_fort_clo,H2_raw,H2_naive,H2_fort,H2_naive_time,H2_fort_time,H2_naive_clo,H2_fort_clo,H3_raw,H3_naive,H3_fort,H3_naive_time,H3_fort_time,H3_naive_clo,H3_fort_clo,H4_raw,H4_naive,H4_fort,H4_naive_time,H4_fort_time,H4_naive_clo,H4_fort_clo,H5_raw,H5_naive,H5_fort,H5_naive_time,H5_fort_time,H5_naive_clo,H5_fort_clo
IEEE14,14,20,2,2,2,0.0001,0.0002,2,2,2,2,2,0.0001,0.0002,2,2,2,2,2,0.0001,0.0001,2,2,2,2,2,0.0001,0.0001,2,2,2,2,2,0.0001,0.0002,2,2
IEEE30,30,41,5,3,3,0.0006,0.0005,8,5,3,3,3,0.0002,0.0003,3,3,11,3,3,0.0013,0.0016,14,11,3,3,3,0.0004,0.002,3,3,7,3,3,0.0006,0.0005,10,7
IEEE57,57,78,10,3,3,0.0022,0.0018,13,10,3,3,3,0.0003,0.0005,3,3,12,4,4,0.0029,0.0021,16,12,5,4,4,0.0015,0.0011,9,5,10,3,3,0.0018,0.0016,13,10
IEEE118,118,179,34,10,10,0.0075,0.0059,44,34,9,8,8,0.0043,0.0018,17,9,68,10,10,0.0119,0.0098,78,68,11,9,9,0.0031,0.002,20,11,39,10,10,0.0075,0.006,49,39
IEEE300,300,409,153,32,32,0.0725,0.0697,185,153,34,33,33,0.0344,0.019,67,34,243,52,52,0.1297,0.0942,295,243,38,32,32,0.0384,0.0275,70,38,162,33,33,0.1139,0.0946,195,162
BCSPWR01,39,46,12,5,5,0.001,0.0011,17,12,5,5,5,0.0004,0.0005,5,5,15,6,6,0.0014,0.0012,21,15,5,5,5,0.0003,0.0006,5,5,8,5,5,0.0008,0.0006,13,8
BCSPWR03,118,179,30,9,9,0.0104,0.008,39,30,9,8,8,0.0039,0.0022,17,9,68,9,9,0.0154,0.0123,77,68,11,9,9,0.0041,0.0024,20,11,35,9,9,0.008,0.0072,44,35
494_bus,494,586,174,56,56,0.1749,0.1267,230,174,61,55,55,0.0906,0.0497,116,61,395,83,83,0.3452,0.3438,478,395,70,58,58,0.1039,0.0576,128,70,185,57,57,0.1744,0.1316,242,185
illinois200,200,245,43,21,21,0.0161,0.0108,64,43,22,20,20,0.0115,0.0064,42,22,96,29,29,0.033,0.0239,125,96,25,21,21,0.0121,0.0072,46,25,45,21,21,0.0165,0.0114,66,45
1138_bus,1138,1458,433,149,149,0.9695,0.7151,582,433,146,139,139,0.5054,0.286,285,146,876,188,188,1.7992,1.5018,1064,876,169,140,140,0.5294,0.2961,309,169,478,151,151,0.9907,0.9691,629,478
BCSPWR05,443,590,189,53,53,0.1563,0.1215,242,189,54,47,47,0.0722,0.0405,101,54,365,65,65,0.2994,0.2658,430,365,66,48,48,0.0793,0.0467,114,66,204,55,55,0.1605,0.125,259,204
pegase1354,1354,1710,493,182,182,1.3779,0.8956,675,493,178,177,177,0.6046,0.346,355,178,1119,249,249,2.5796,1.9132,1368,1119,212,178,178,0.7014,0.4323,390,212,548,181,181,1.3605,0.9976,729,548
case1951rte,1882,2305,592,249,249,2.2319,1.8329,841,592,257,241,241,1.741,0.7454,498,257,1377,362,362,4.9472,3.5565,1739,1377,297,241,241,1.3902,0.7377,538,297,779,261,261,2.2893,1.6925,1040,779
pegase2869,2869,3968,1177,321,321,6.1508,5.2915,1498,1177,326,310,310,3.4704,1.7435,636,326,2508,453,453,12.6079,10.572,2961,2508,380,311,311,3.1668,1.7825,691,380,1249,322,322,6.4007,4.8812,1571,1249
case6468rte,6461,8058,2131,786,786,31.3003,22.4859,2917,2131,783,737,737,17.5357,9.0164,1520,783,5583,1200,1200,76.051,61.455,6783,5583,890,737,737,17.8599,10.2287,1627,890,2496,829,829,37.2629,26.505,3325,2496
