Dataset,Nodes,Edges,H1_raw,H1_pruned,H1_time,H1_closures,H2_raw,H2_pruned,H2_time,H2_closures,H3_raw,H3_pruned,H3_time,H3_closures,H4_raw,H4_pruned,H4_time,H4_closures,H5_raw,H5_pruned,H5_time,H5_closures
BCSPWR01,39,46,14,5,0.0013,14,6,5,0.0009,6,16,6,0.0017,16,8,5,0.001,8,10,5,0.0014,10
BCSPWR02,49,59,11,6,0.002,11,6,6,0.0012,6,30,7,0.0044,30,8,6,0.0016,8,13,6,0.0022,13
BCSPWR03,118,179,32,9,0.0123,32,10,10,0.0042,10,70,9,0.0151,70,11,8,0.0042,11,37,9,0.0099,37
BCSPWR04,274,669,168,25,0.0834,168,26,24,0.0161,26,242,32,0.156,242,35,24,0.023,35,171,25,0.0879,171
BCSPWR05,443,590,191,53,0.2044,191,54,48,0.0914,54,367,65,0.4834,367,67,49,0.0951,67,206,55,0.1867,206
BCSPWR06,1454,1923,632,151,2.4154,632,158,144,0.6388,158,1071,185,3.7328,1071,183,146,0.7563,183,622,154,1.9916,622
BCSPWR07,1612,2106,686,174,2.3003,686,187,167,0.6038,187,1368,245,4.035,1368,219,174,0.6815,219,733,178,1.9534,733
BCSPWR08,1624,2213,731,178,2.3477,731,180,165,0.7661,180,1418,248,4.8639,1418,209,171,0.6676,209,723,178,2.0565,723
BCSPWR09,1723,2394,519,174,1.469,519,188,173,0.631,188,1523,177,4.1892,1523,233,177,0.7853,233,573,174,1.6415,573
BCSPWR10,5300,8271,2275,335,34.5242,2275,366,327,9.0312,366,4465,338,68.1731,4465,442,343,7.2997,442,2307,335,25.55,2307
494_bus,494,586,176,56,0.1406,176,63,55,0.0547,63,397,83,0.3253,397,75,58,0.0622,75,187,57,0.1443,187
662_bus,662,906,241,51,0.3007,241,53,50,0.0831,53,429,63,0.5166,429,56,50,0.0786,56,251,51,0.3007,251
685_bus,685,1282,276,50,0.3499,276,50,45,0.0792,50,580,61,0.7471,580,59,41,0.0981,59,284,50,0.3477,284
1138_bus,1138,1458,434,149,0.797,434,149,139,0.289,149,878,188,1.6088,878,170,145,0.3182,170,480,151,0.8238,480
IEEE14,14,20,4,2,0.0002,4,2,2,0.0001,2,3,2,0.0001,3,2,2,0.0001,2,2,2,0.0001,2
IEEE30,30,41,7,3,0.0005,7,3,3,0.0003,3,13,4,0.0006,13,3,3,0.0002,3,9,3,0.0004,9
IEEE57,57,78,12,3,0.0013,12,4,4,0.0005,4,14,4,0.0015,14,6,4,0.0007,6,12,3,0.0012,12
IEEE118,118,179,36,10,0.0064,36,10,9,0.0019,10,70,10,0.0112,70,11,8,0.0028,11,41,10,0.0084,41
IEEE300,300,409,155,32,0.0711,155,36,31,0.0197,36,245,52,0.1226,245,40,34,0.0233,40,164,33,0.0821,164
illinois200,200,245,44,21,0.0137,44,23,20,0.0065,23,98,29,0.0283,98,25,20,0.0079,25,46,21,0.0131,46
pegase1354,1354,1710,495,182,0.9423,495,180,177,0.387,180,1121,251,2.3316,1121,213,178,0.4591,213,550,181,1.0456,550
pegase2869,2869,3968,1179,321,5.5724,1179,326,309,1.7449,326,2510,453,14.1221,2510,387,310,2.2624,387,1251,321,6.3582,1251
pegase9241,9241,14207,3798,897,61.9062,3798,920,850,17.2608,920,8119,1225,128.6331,8119,1058,859,18.4653,1058,3975,918,62.7572,3975
case1888rte,1888,2308,582,246,1.445,582,254,238,0.6615,254,1363,359,3.3674,1363,291,240,0.7861,291,778,264,1.8758,778
case2848rte,2848,3442,884,364,3.5683,884,381,355,1.6797,381,2229,559,9.4307,2229,439,355,1.9161,439,1139,404,4.2621,1139
case6470rte,6470,8066,2146,802,21.5576,2146,802,754,9.1183,802,5582,1228,60.8344,5582,911,754,10.3183,911,2511,841,24.476,2511
case1951rte,1882,2305,594,249,1.5155,594,257,243,0.7189,257,1379,362,3.5212,1379,297,244,0.8129,297,782,261,2.0803,782
case2868rte,2696,3240,861,368,3.4306,861,378,349,1.5747,378,2239,618,9.0574,2239,434,349,1.9422,434,1089,401,4.1927,1089
case6468rte,6461,8058,2133,786,21.1905,2133,783,736,8.6548,783,5585,1202,55.4156,5585,895,738,10.3279,895,2499,829,24.2574,2499
