Dataset,Nodes,Edges,H1_raw,H1_pruned,H1_time,H1_closures,H2_raw,H2_pruned,H2_time,H2_closures,H3_raw,H3_pruned,H3_time,H3_closures,H4_raw,H4_pruned,H4_time,H4_closures,H5_raw,H5_pruned,H5_time,H5_closures
BCSPWR01,39,46,14,5,0.0024,19,6,5,0.0015,11,16,6,0.0034,22,8,5,0.0019,13,10,5,0.002,15
BCSPWR02,49,59,11,6,0.0028,17,6,6,0.0009,6,30,7,0.0052,37,8,6,0.0019,14,13,6,0.0028,19
BCSPWR03,118,179,32,9,0.0137,41,10,10,0.0019,10,70,9,0.0164,79,11,8,0.0046,19,37,9,0.0104,46
BCSPWR04,274,669,168,25,0.0871,193,26,24,0.0263,50,242,32,0.1501,274,35,24,0.0332,59,171,25,0.0887,196
BCSPWR05,443,590,191,53,0.1929,244,54,48,0.0975,102,367,65,0.3799,432,67,49,0.1099,116,206,55,0.2137,261
BCSPWR06,1454,1923,632,151,2.8319,783,158,144,0.8994,302,1071,185,3.3709,1256,183,146,0.9303,329,622,154,1.967,776
BCSPWR07,1612,2106,686,174,2.4862,860,187,167,1.1233,354,1368,245,5.4583,1613,219,174,1.2035,393,733,178,2.7469,911
BCSPWR08,1624,2213,731,178,2.8736,909,180,165,1.0837,345,1418,248,4.9887,1666,209,171,1.1977,380,723,178,2.5495,901
BCSPWR09,1723,2394,519,174,2.1026,693,188,173,1.2005,361,1523,177,4.687,1700,233,177,1.3845,410,573,174,2.2368,747
BCSPWR10,5300,8271,2275,335,31.1603,2610,366,327,12.8628,693,4465,338,51.4747,4803,442,343,10.9496,785,2307,335,30.5381,2642
494_bus,494,586,176,56,0.2204,232,63,55,0.1083,118,397,83,0.4035,480,75,58,0.1197,133,187,57,0.2011,244
662_bus,662,906,241,51,0.381,292,53,50,0.1417,103,429,63,0.6248,492,56,50,0.1481,106,251,51,0.3829,302
685_bus,685,1282,276,50,0.4364,326,50,45,0.1864,95,580,61,0.8678,641,59,41,0.1564,100,284,50,0.4325,334
1138_bus,1138,1458,434,149,1.1156,583,149,139,0.5992,288,878,188,2.044,1066,170,145,0.6044,315,480,151,1.1246,631
IEEE14,14,20,4,2,0.0001,6,2,2,0.0,2,3,2,0.0001,5,2,2,0.0,2,2,2,0.0,2
IEEE30,30,41,7,3,0.0005,10,3,3,0.0001,3,13,4,0.0008,17,3,3,0.0001,3,9,3,0.0005,12
IEEE57,57,78,12,3,0.0019,15,4,4,0.0004,4,14,4,0.0018,18,6,4,0.001,10,12,3,0.0015,15
IEEE118,118,179,36,10,0.008,46,10,9,0.0074,19,70,10,0.0188,80,11,8,0.0035,19,41,10,0.0113,51
IEEE300,300,409,155,32,0.0914,187,36,31,0.0334,67,245,52,0.1603,297,40,34,0.0405,74,164,33,0.0972,197
illinois200,200,245,44,21,0.0177,65,23,20,0.0132,43,98,29,0.0353,127,25,20,0.0134,45,46,21,0.0203,67
pegase1354,1354,1710,495,182,1.4747,677,180,177,0.7264,357,1121,251,2.8877,1372,213,178,0.9125,391,550,181,1.4051,731
pegase2869,2869,3968,1179,321,6.9941,1500,326,309,3.6018,635,2510,453,16.6318,2963,387,310,4.3234,697,1251,321,8.0402,1572
pegase9241,9241,14207,3798,897,87.3388,4695,920,850,47.0458,1770,8119,1225,191.8449,9344,1058,859,43.5978,1917,3975,918,92.5229,4893
case1888rte,1888,2308,582,246,2.3413,828,254,238,1.4588,492,1363,359,4.9837,1722,291,240,1.6247,531,778,264,2.9277,1042
case2848rte,2848,3442,884,364,6.0934,1248,381,355,3.6902,736,2229,559,13.5447,2788,439,355,4.0895,794,1139,404,7.6934,1543
case6470rte,6470,8066,2146,802,42.6527,2948,802,754,20.1795,1556,5582,1228,88.9197,6810,911,754,28.0012,1665,2511,841,40.8608,3352
case1951rte,1882,2305,594,249,2.5188,843,257,243,1.5369,500,1379,362,5.1766,1741,297,244,1.6365,541,782,261,2.9019,1043
case2868rte,2696,3240,861,368,5.9708,1229,378,349,3.4188,727,2239,618,13.0832,2857,434,349,3.7726,783,1089,401,7.2756,1490
case6468rte,6461,8058,2133,786,36.1924,2919,783,736,21.0454,1519,5585,1202,93.8244,6787,895,738,21.0181,1633,2499,829,40.9991,3328
