Dataset,Node,Twins,Near_Twins
BCSPWR01,0,[],"[(29, 1)]"
BCSPWR01,4,[6],"[(30, 1)]"
BCSPWR01,6,[4],"[(30, 1)]"
BCSPWR01,9,[],"[(11, 1)]"
BCSPWR01,11,[],"[(9, 1)]"
BCSPWR01,19,[],"[(32, 1)]"
BCSPWR01,20,[],"[(34, 1)]"
BCSPWR01,23,[],"[(35, 1)]"
BCSPWR01,27,[],"[(37, 1)]"
BCSPWR01,29,[],"[(0, 1)]"
BCSPWR01,30,[],"[(4, 1), (6, 1)]"
BCSPWR01,32,[],"[(19, 1)]"
BCSPWR01,34,[],"[(20, 1)]"
BCSPWR01,35,[],"[(23, 1)]"
BCSPWR01,37,[],"[(27, 1)]"
BCSPWR02,0,[3],[]
BCSPWR02,3,[0],[]
BCSPWR02,5,[],"[(11, 1)]"
BCSPWR02,8,"[9, 10]",[]
BCSPWR02,9,"[8, 10]",[]
BCSPWR02,10,"[8, 9]",[]
BCSPWR02,11,[],"[(5, 1), (35, 1)]"
BCSPWR02,23,"[24, 25]",[]
BCSPWR02,24,"[23, 25]",[]
BCSPWR02,25,"[23, 24]",[]
BCSPWR02,35,[],"[(11, 1)]"
BCSPWR02,46,[47],[]
BCSPWR02,47,[46],[]
BCSPWR03,8,[],"[(9, 1)]"
BCSPWR03,9,[],"[(8, 1)]"
BCSPWR03,14,[],"[(16, 1), (19, 1)]"
BCSPWR03,16,[],"[(14, 1)]"
BCSPWR03,17,[],"[(19, 1)]"
BCSPWR03,19,[],"[(14, 1), (17, 1), (20, 1), (21, 1)]"
BCSPWR03,20,[],"[(19, 1)]"
BCSPWR03,21,[],"[(19, 1)]"
BCSPWR03,28,[],"[(29, 1)]"
BCSPWR03,29,[],"[(28, 1)]"
BCSPWR03,40,[],"[(42, 1), (112, 1)]"
BCSPWR03,42,[],"[(40, 1)]"
BCSPWR03,53,[],"[(56, 1)]"
BCSPWR03,56,[],"[(53, 1)]"
BCSPWR03,78,[79],[]
BCSPWR03,79,[78],[]
BCSPWR03,82,[83],"[(84, 1)]"
BCSPWR03,83,[82],"[(84, 1)]"
BCSPWR03,84,[],"[(82, 1), (83, 1)]"
BCSPWR03,112,[],"[(40, 1)]"
BCSPWR04,2,[3],[]
BCSPWR04,3,[2],[]
BCSPWR04,6,[131],[]
BCSPWR04,9,[34],[]
BCSPWR04,16,[],"[(119, 1), (56, 1), (57, 1), (58, 1)]"
BCSPWR04,17,"[141, 192]",[]
BCSPWR04,18,[86],[]
BCSPWR04,28,[144],[]
BCSPWR04,29,[42],[]
BCSPWR04,31,[221],[]
BCSPWR04,34,[9],[]
BCSPWR04,42,[29],[]
BCSPWR04,53,[244],[]
BCSPWR04,56,"[57, 58]","[(16, 1)]"
BCSPWR04,57,"[56, 58]","[(16, 1)]"
BCSPWR04,58,"[56, 57]","[(16, 1)]"
BCSPWR04,65,[66],[]
BCSPWR04,66,[65],[]
BCSPWR04,72,[206],[]
BCSPWR04,73,[232],"[(218, 1), (219, 1)]"
BCSPWR04,86,[18],[]
BCSPWR04,94,[96],[]
BCSPWR04,96,[94],[]
BCSPWR04,101,[],"[(202, 1)]"
BCSPWR04,104,[],"[(222, 1)]"
BCSPWR04,110,[111],[]
BCSPWR04,111,[110],[]
BCSPWR04,119,[],"[(16, 1), (254, 1)]"
BCSPWR04,127,[],"[(245, 1)]"
BCSPWR04,131,[6],[]
BCSPWR04,141,"[17, 192]",[]
BCSPWR04,144,[28],[]
BCSPWR04,151,[],"[(201, 1), (152, 1)]"
BCSPWR04,152,[],"[(151, 1)]"
BCSPWR04,157,[],"[(174, 1)]"
BCSPWR04,165,[166],[]
BCSPWR04,166,[165],[]
BCSPWR04,174,[],"[(157, 1)]"
BCSPWR04,176,"[177, 178]",[]
BCSPWR04,177,"[176, 178]",[]
BCSPWR04,178,"[176, 177]",[]
BCSPWR04,179,[269],[]
BCSPWR04,192,"[17, 141]",[]
BCSPWR04,201,[],"[(151, 1)]"
BCSPWR04,202,[],"[(101, 1)]"
BCSPWR04,206,[72],[]
BCSPWR04,211,[266],[]
BCSPWR04,218,[219],"[(73, 1), (232, 1)]"
BCSPWR04,219,[218],"[(73, 1), (232, 1)]"
BCSPWR04,221,[31],[]
BCSPWR04,222,[],"[(104, 1)]"
BCSPWR04,232,[73],"[(218, 1), (219, 1)]"
BCSPWR04,244,[53],[]
BCSPWR04,245,[],"[(127, 1)]"
BCSPWR04,254,[],"[(119, 1)]"
BCSPWR04,266,[211],[]
BCSPWR04,269,[179],[]
BCSPWR05,0,[78],[]
BCSPWR05,3,[4],[]
BCSPWR05,4,[3],[]
BCSPWR05,5,[6],[]
BCSPWR05,6,[5],[]
BCSPWR05,10,[],"[(103, 1)]"
BCSPWR05,11,[],"[(178, 1)]"
BCSPWR05,13,[],"[(299, 1)]"
BCSPWR05,16,[],"[(240, 1), (440, 1)]"
BCSPWR05,17,[],"[(34, 1)]"
BCSPWR05,24,[],"[(298, 1), (363, 1)]"
BCSPWR05,28,[],"[(268, 1)]"
BCSPWR05,34,[],"[(17, 1)]"
BCSPWR05,39,[],"[(332, 1)]"
BCSPWR05,41,[],"[(183, 1)]"
BCSPWR05,45,"[46, 47, 48]",[]
BCSPWR05,46,"[45, 47, 48]",[]
BCSPWR05,47,"[45, 46, 48]",[]
BCSPWR05,48,"[45, 46, 47]",[]
BCSPWR05,54,[55],"[(175, 1)]"
BCSPWR05,55,[54],"[(175, 1)]"
BCSPWR05,61,"[62, 63]","[(362, 1)]"
BCSPWR05,62,"[61, 63]","[(362, 1)]"
BCSPWR05,63,"[61, 62]","[(362, 1)]"
BCSPWR05,67,[],"[(135, 1), (141, 1)]"
