Dataset,Nodes,Edges,K,H1,H1_time,H2,H2_time,H3,H3_time,H4,H4_time,H5,H5_time
BCSPWR01,39,46,3,12,0.0012,5,0.0005,15,0.0014,7,0.0021,9,0.0007
BCSPWR01,39,46,5,10,0.0007,6,0.0009,19,0.0015,6,0.0022,8,0.0006
BCSPWR01,39,46,10,17,0.0012,7,0.0009,19,0.0013,7,0.0017,13,0.0008
BCSPWR02,49,59,3,10,0.0005,6,0.0006,28,0.0021,13,0.007,11,0.0014
BCSPWR02,49,59,5,14,0.0014,7,0.001,26,0.0026,9,0.0056,14,0.0016
BCSPWR02,49,59,10,19,0.0014,12,0.0011,22,0.0014,13,0.0042,28,0.0022
BCSPWR03,118,179,3,30,0.0035,10,0.0018,71,0.0097,17,0.0183,42,0.0068
BCSPWR03,118,179,5,31,0.0044,12,0.0024,68,0.0116,14,0.02,35,0.008
BCSPWR03,118,179,10,25,0.0044,13,0.0028,66,0.0094,16,0.0172,34,0.0051
BCSPWR04,274,669,3,166,0.0615,32,0.0176,240,0.0865,36,0.1567,170,0.0582
BCSPWR04,274,669,5,189,0.0619,36,0.0207,238,0.0836,37,0.2173,171,0.0883
BCSPWR04,274,669,10,169,0.0615,44,0.0245,249,0.1177,44,0.2908,174,0.0933
BCSPWR05,443,590,3,196,0.1323,57,0.0406,375,0.1818,69,0.3254,204,0.0972
BCSPWR05,443,590,5,187,0.0773,56,0.0372,366,0.1559,71,0.2388,221,0.0977
BCSPWR05,443,590,10,191,0.0783,84,0.0548,361,0.1507,74,0.2439,213,0.0941
BCSPWR06,1454,1923,3,630,1.0835,159,0.4489,1069,2.0986,189,2.3404,622,1.1504
BCSPWR06,1454,1923,5,640,1.1145,154,0.3459,1069,1.6721,192,2.5749,618,1.1072
BCSPWR06,1454,1923,10,646,1.0154,163,0.3823,1099,1.5436,197,2.0735,615,0.9878
BCSPWR07,1612,2106,3,685,0.9753,189,0.4356,1366,1.9181,220,2.4868,737,1.1177
BCSPWR07,1612,2106,5,685,0.9922,192,0.4365,1367,1.9561,222,2.5937,733,1.1289
BCSPWR07,1612,2106,10,688,0.9918,194,0.4487,1362,2.0084,231,3.2401,726,1.1007
BCSPWR08,1624,2213,3,729,1.0503,186,0.4441,1418,2.0435,215,2.6459,722,1.0807
BCSPWR08,1624,2213,5,729,1.0317,189,0.433,1423,2.0242,210,2.5701,735,1.1062
BCSPWR08,1624,2213,10,729,1.0341,194,0.4397,1413,2.0574,214,2.6732,721,1.1157
BCSPWR09,1723,2394,3,519,0.825,187,0.4805,1524,2.3581,234,3.4434,571,1.1834
BCSPWR09,1723,2394,5,516,0.8953,200,0.539,1536,2.5636,230,3.2573,569,0.9388
BCSPWR09,1723,2394,10,522,0.8238,200,0.4984,1522,2.3761,231,3.2815,568,0.9246
BCSPWR10,5300,8271,3,2277,12.2476,367,3.2377,4468,23.8229,439,23.0011,2307,14.0433
BCSPWR10,5300,8271,5,2271,13.0996,362,3.149,4461,24.3887,439,22.898,2305,13.2703
BCSPWR10,5300,8271,10,2275,13.3587,370,3.4209,4466,24.248,456,23.9663,2305,13.9954
494_bus,494,586,3,174,0.0896,62,0.0477,395,0.1957,74,0.2651,188,0.0867
494_bus,494,586,5,173,0.0735,64,0.0426,406,0.1726,71,0.214,184,0.0888
494_bus,494,586,10,180,0.0775,84,0.0558,395,0.1671,86,0.2505,192,0.0929
662_bus,662,906,3,241,0.1775,53,0.0723,432,0.3221,59,0.3351,250,0.176
662_bus,662,906,5,239,0.1627,52,0.0553,426,0.2479,62,0.3365,247,0.1738
662_bus,662,906,10,242,0.1542,57,0.0546,437,0.2843,61,0.3391,246,0.1554
