Dataset,Nodes,Edges,H1,H1_time,H2,H2_time,H3,H3_time,H4,H4_time,H5,H5_time
BCSPWR01,39,46,14,0.0012,6,0.0005,16,0.0012,8,0.0017,10,0.0005
BCSPWR02,49,59,11,0.0008,6,0.0007,30,0.002,8,0.0028,13,0.001
BCSPWR03,118,179,32,0.0031,10,0.002,70,0.0091,11,0.0111,37,0.0043
BCSPWR04,274,669,168,0.0407,26,0.0101,242,0.0596,35,0.1174,171,0.048
BCSPWR05,443,590,191,0.0862,54,0.0332,367,0.134,67,0.2575,206,0.1196
BCSPWR06,1454,1923,632,0.8553,158,0.2798,1071,1.1889,183,1.644,622,0.7365
BCSPWR07,1612,2106,686,0.8942,187,0.3753,1368,1.7031,219,2.1634,733,0.9897
BCSPWR08,1624,2213,731,0.9312,180,0.3701,1418,1.7864,209,2.5506,723,1.1633
BCSPWR09,1723,2394,519,0.82,188,0.4968,1523,2.2029,233,3.3001,573,0.9307
BCSPWR10,5300,8271,2275,12.6923,366,3.2481,4465,24.9369,442,23.1136,2307,13.0975
494_bus,494,586,176,0.0873,63,0.0376,397,0.1938,75,0.2091,187,0.0959
662_bus,662,906,241,0.1471,53,0.0545,429,0.2479,56,0.2701,251,0.1395
685_bus,685,1282,276,0.1665,50,0.0625,580,0.4184,59,0.4457,284,0.2037
1138_bus,1138,1458,434,0.4993,149,0.2567,878,0.8737,170,1.3995,480,0.6142
IEEE14,14,20,4,0.0002,2,0.0001,3,0.0003,2,0.0003,2,0.0002
IEEE30,30,41,7,0.0003,3,0.0001,13,0.0004,3,0.0005,9,0.0003
IEEE57,57,78,12,0.0007,4,0.0003,14,0.0011,6,0.0024,12,0.0008
IEEE118,118,179,36,0.0043,10,0.0015,70,0.0073,11,0.0094,41,0.0042
IEEE300,300,409,155,0.0349,36,0.013,245,0.0555,40,0.0684,164,0.0393
illinois200,200,245,44,0.0094,23,0.0099,98,0.0205,25,0.0377,46,0.0099
pegase1354,1354,1710,495,0.5961,180,0.4015,1121,1.2378,213,1.8168,550,0.7043
pegase2869,2869,3968,1179,3.2877,326,1.5664,2510,7.2838,387,8.7138,1251,3.2922
pegase9241,9241,14207,3798,33.6069,920,14.8985,8119,70.3971,1058,88.7545,3975,38.0464
case1888rte,1888,2308,582,1.1413,254,0.5922,1363,2.0607,291,3.496,778,1.3745
case2848rte,2848,3442,884,2.092,381,1.5248,2229,6.1873,439,8.3627,1139,3.1615
case6470rte,6470,8066,2146,14.4149,802,8.5362,5582,37.2921,911,46.455,2511,18.3887
case1951rte,1882,2305,594,1.0074,257,0.7371,1379,2.4024,297,4.0926,782,1.5212
case2868rte,2696,3240,861,2.0967,378,1.3253,2239,5.235,434,7.6158,1089,2.7679
case6468rte,6461,8058,2133,12.6335,783,6.9592,5585,31.6799,895,42.0958,2499,20.789
